北京移动,#genre#
CCTV8,http://iptv.666230.xyz/iptv/bjyd.php/6451
CCTV9,http://iptv.666230.xyz/iptv/bjyd.php/6236
CCTV9,http://iptv.666230.xyz/iptv/bjyd.php/6465
CCTV9,http://iptv.666230.xyz/iptv/bjyd.php/6944
CCTV9,http://iptv.666230.xyz/iptv/bjyd.php/7037
CCTV9,http://iptv.666230.xyz/iptv/bjyd.php/6450
CCTV10,http://iptv.666230.xyz/iptv/bjyd.php/6464
CCTV10,http://iptv.666230.xyz/iptv/bjyd.php/6937
CCTV10,http://iptv.666230.xyz/iptv/bjyd.php/6918
CCTV10,http://iptv.666230.xyz/iptv/bjyd.php/6449
CCTV11,http://iptv.666230.xyz/iptv/bjyd.php/6334
CCTV11,http://iptv.666230.xyz/iptv/bjyd.php/6463
CCTV11,http://iptv.666230.xyz/iptv/bjyd.php/6914
CCTV11,http://iptv.666230.xyz/iptv/bjyd.php/6448
CCTV12,http://iptv.666230.xyz/iptv/bjyd.php/6228
CCTV12,http://iptv.666230.xyz/iptv/bjyd.php/6462
CCTV12,http://iptv.666230.xyz/iptv/bjyd.php/6942
CCTV12,http://iptv.666230.xyz/iptv/bjyd.php/6905
CCTV12,http://iptv.666230.xyz/iptv/bjyd.php/6447
CCTV13,http://iptv.666230.xyz/iptv/bjyd.php/6316
CCTV13,http://iptv.666230.xyz/iptv/bjyd.php/6568
CCTV13,http://iptv.666230.xyz/iptv/bjyd.php/7041
CCTV13,http://iptv.666230.xyz/iptv/bjyd.php/6339
CCTV13,http://iptv.666230.xyz/iptv/bjyd.php/6446
CCTV14,http://iptv.666230.xyz/iptv/bjyd.php/6229
CCTV14,http://iptv.666230.xyz/iptv/bjyd.php/6461
CCTV14,http://iptv.666230.xyz/iptv/bjyd.php/6947
CCTV14,http://iptv.666230.xyz/iptv/bjyd.php/7036
CCTV14,http://iptv.666230.xyz/iptv/bjyd.php/6904
CCTV14,http://iptv.666230.xyz/iptv/bjyd.php/6445
CCTV15,http://iptv.666230.xyz/iptv/bjyd.php/6333
CCTV15,http://iptv.666230.xyz/iptv/bjyd.php/6460
CCTV15,http://iptv.666230.xyz/iptv/bjyd.php/6910
CCTV15,http://iptv.666230.xyz/iptv/bjyd.php/6444
CCTV16,http://iptv.666230.xyz/iptv/bjyd.php/6887
CCTV16,http://iptv.666230.xyz/iptv/bjyd.php/6888
CCTV16,http://iptv.666230.xyz/iptv/bjyd.php/6892
CCTV16,http://iptv.666230.xyz/iptv/bjyd.php/7002
CCTV17,http://iptv.666230.xyz/iptv/bjyd.php/6318
CCTV17,http://iptv.666230.xyz/iptv/bjyd.php/6459
CCTV17,http://iptv.666230.xyz/iptv/bjyd.php/6442
CETV1,http://iptv.666230.xyz/iptv/bjyd.php/6494
CETV1,http://iptv.666230.xyz/iptv/bjyd.php/7021
CETV1,http://iptv.666230.xyz/iptv/bjyd.php/6538
CETV1,http://iptv.666230.xyz/iptv/bjyd.php/6925
CETV2,http://iptv.666230.xyz/iptv/bjyd.php/6537
CETV4,http://iptv.666230.xyz/iptv/bjyd.php/6997
CETV4,http://iptv.666230.xyz/iptv/bjyd.php/6557
CGTN,http://iptv.666230.xyz/iptv/bjyd.php/6443
CGTN,http://iptv.666230.xyz/iptv/bjyd.php/6987
CGTN,http://iptv.666230.xyz/iptv/bjyd.php/6903
CGTN纪录,http://iptv.666230.xyz/iptv/bjyd.php/7006
CGTN纪录,http://iptv.666230.xyz/iptv/bjyd.php/6901
CGTN阿语,http://iptv.666230.xyz/iptv/bjyd.php/7023
CGTN西语,http://iptv.666230.xyz/iptv/bjyd.php/7030
CGTN法语,http://iptv.666230.xyz/iptv/bjyd.php/7034
CGTN俄语,http://iptv.666230.xyz/iptv/bjyd.php/7038
中国交通,http://iptv.666230.xyz/iptv/bjyd.php/6891
东南卫视,http://iptv.666230.xyz/iptv/bjyd.php/6991
东南卫视,http://iptv.666230.xyz/iptv/bjyd.php/6496
东南卫视,http://iptv.666230.xyz/iptv/bjyd.php/6909
东方卫视,http://iptv.666230.xyz/iptv/bjyd.php/6237
东方卫视,http://iptv.666230.xyz/iptv/bjyd.php/6364
东方卫视,http://iptv.666230.xyz/iptv/bjyd.php/6505
东方卫视,http://iptv.666230.xyz/iptv/bjyd.php/6898
东方卫视,http://iptv.666230.xyz/iptv/bjyd.php/6951
东方卫视,http://iptv.666230.xyz/iptv/bjyd.php/6983
云南卫视,http://iptv.666230.xyz/iptv/bjyd.php/7028
北京卫视,http://iptv.666230.xyz/iptv/bjyd.php/6367
北京卫视,http://iptv.666230.xyz/iptv/bjyd.php/6436
北京卫视,http://iptv.666230.xyz/iptv/bjyd.php/6441
北京卫视,http://iptv.666230.xyz/iptv/bjyd.php/6900
北京卫视,http://iptv.666230.xyz/iptv/bjyd.php/6936
北京卫视,http://iptv.666230.xyz/iptv/bjyd.php/7005
北京卫视,http://iptv.666230.xyz/iptv/bjyd.php/6571
北京卫视,http://iptv.666230.xyz/iptv/bjyd.php/6513
北京卫视,http://iptv.666230.xyz/iptv/bjyd.php/6515
北京卫视,http://iptv.666230.xyz/iptv/bjyd.php/6562
北京卫视,http://iptv.666230.xyz/iptv/bjyd.php/6563
北京卫视,http://iptv.666230.xyz/iptv/bjyd.php/6564
北京卫视,http://iptv.666230.xyz/iptv/bjyd.php/6577
吉林卫视,http://iptv.666230.xyz/iptv/bjyd.php/7015
吉林卫视,http://iptv.666230.xyz/iptv/bjyd.php/6886
四川卫视,http://iptv.666230.xyz/iptv/bjyd.php/6995
天津卫视,http://iptv.666230.xyz/iptv/bjyd.php/6246
天津卫视,http://iptv.666230.xyz/iptv/bjyd.php/6954
天津卫视,http://iptv.666230.xyz/iptv/bjyd.php/6502
安徽卫视,http://iptv.666230.xyz/iptv/bjyd.php/6499
安徽卫视,http://iptv.666230.xyz/iptv/bjyd.php/6943
安徽卫视,http://iptv.666230.xyz/iptv/bjyd.php/6902
山东卫视,http://iptv.666230.xyz/iptv/bjyd.php/6244
山东卫视,http://iptv.666230.xyz/iptv/bjyd.php/6501
山东卫视,http://iptv.666230.xyz/iptv/bjyd.php/6957
江苏卫视,http://iptv.666230.xyz/iptv/bjyd.php/7009
江苏卫视,http://iptv.666230.xyz/iptv/bjyd.php/6242
江苏卫视,http://iptv.666230.xyz/iptv/bjyd.php/6366
江苏卫视,http://iptv.666230.xyz/iptv/bjyd.php/6897
江苏卫视,http://iptv.666230.xyz/iptv/bjyd.php/6953
江苏卫视,http://iptv.666230.xyz/iptv/bjyd.php/6506
广东卫视,http://iptv.666230.xyz/iptv/bjyd.php/6238
广东卫视,http://iptv.666230.xyz/iptv/bjyd.php/6961
广东卫视,http://iptv.666230.xyz/iptv/bjyd.php/6508
黑龙江卫视,http://iptv.666230.xyz/iptv/bjyd.php/6239
黑龙江卫视,http://iptv.666230.xyz/iptv/bjyd.php/6498
黑龙江卫视,http://iptv.666230.xyz/iptv/bjyd.php/6965
湖北卫视,http://iptv.666230.xyz/iptv/bjyd.php/6240
湖北卫视,http://iptv.666230.xyz/iptv/bjyd.php/6952
湖北卫视,http://iptv.666230.xyz/iptv/bjyd.php/6503
江西卫视,http://iptv.666230.xyz/iptv/bjyd.php/6243
江西卫视,http://iptv.666230.xyz/iptv/bjyd.php/6956
江西卫视,http://iptv.666230.xyz/iptv/bjyd.php/6570
深圳卫视,http://iptv.666230.xyz/iptv/bjyd.php/6245
深圳卫视,http://iptv.666230.xyz/iptv/bjyd.php/6495
深圳卫视,http://iptv.666230.xyz/iptv/bjyd.php/6959
浙江卫视,http://iptv.666230.xyz/iptv/bjyd.php/6247
浙江卫视,http://iptv.666230.xyz/iptv/bjyd.php/6365
浙江卫视,http://iptv.666230.xyz/iptv/bjyd.php/6899
浙江卫视,http://iptv.666230.xyz/iptv/bjyd.php/6964
浙江卫视,http://iptv.666230.xyz/iptv/bjyd.php/6504
浙江卫视,http://iptv.666230.xyz/iptv/bjyd.php/6998
河北卫视,http://iptv.666230.xyz/iptv/bjyd.php/7014
河北卫视,http://iptv.666230.xyz/iptv/bjyd.php/6507
广西卫视,http://iptv.666230.xyz/iptv/bjyd.php/7010
贵州卫视,http://iptv.666230.xyz/iptv/bjyd.php/7012
贵州卫视,http://iptv.666230.xyz/iptv/bjyd.php/6497
兵团卫视,http://iptv.666230.xyz/iptv/bjyd.php/7042
湖南卫视,http://iptv.666230.xyz/iptv/bjyd.php/7044
湖南卫视,http://iptv.666230.xyz/iptv/bjyd.php/6509
西藏卫视,http://iptv.666230.xyz/iptv/bjyd.php/7048
宁夏卫视,http://iptv.666230.xyz/iptv/bjyd.php/7049
宁夏卫视,http://iptv.666230.xyz/iptv/bjyd.php/7003
海南卫视,http://iptv.666230.xyz/iptv/bjyd.php/7029
新疆卫视,http://iptv.666230.xyz/iptv/bjyd.php/7031
新疆卫视,http://iptv.666230.xyz/iptv/bjyd.php/7011
甘肃卫视,http://iptv.666230.xyz/iptv/bjyd.php/7020
青海卫视,http://iptv.666230.xyz/iptv/bjyd.php/7017
辽宁卫视,http://iptv.666230.xyz/iptv/bjyd.php/6500
辽宁卫视,http://iptv.666230.xyz/iptv/bjyd.php/6336
辽宁卫视,http://iptv.666230.xyz/iptv/bjyd.php/6966
河南卫视,http://iptv.666230.xyz/iptv/bjyd.php/6525
大湾区卫视,http://iptv.666230.xyz/iptv/bjyd.php/6540
甘肃卫视,http://iptv.666230.xyz/iptv/bjyd.php/6545
重庆卫视,http://iptv.666230.xyz/iptv/bjyd.php/6569
重庆卫视,http://iptv.666230.xyz/iptv/bjyd.php/6963
重庆卫视,http://iptv.666230.xyz/iptv/bjyd.php/6337
陕西卫视,http://iptv.666230.xyz/iptv/bjyd.php/6999
山西卫视,http://iptv.666230.xyz/iptv/bjyd.php/7016
内蒙古卫视,http://iptv.666230.xyz/iptv/bjyd.php/7018
康巴卫视,http://iptv.666230.xyz/iptv/bjyd.php/7027
延边卫视,http://iptv.666230.xyz/iptv/bjyd.php/7045
山东教育,http://iptv.666230.xyz/iptv/bjyd.php/6934
山东教育,http://iptv.666230.xyz/iptv/bjyd.php/7022
北京新闻,http://iptv.666230.xyz/iptv/bjyd.php/6437
北京体育休闲,http://iptv.666230.xyz/iptv/bjyd.php/6438
北京文艺,http://iptv.666230.xyz/iptv/bjyd.php/6440
卡酷少儿,http://iptv.666230.xyz/iptv/bjyd.php/6558
北京纪实科教,http://iptv.666230.xyz/iptv/bjyd.php/6559
北京财经,http://iptv.666230.xyz/iptv/bjyd.php/6560
北京生活,http://iptv.666230.xyz/iptv/bjyd.php/6561
北京影视,http://iptv.666230.xyz/iptv/bjyd.php/6486
北京国际,http://iptv.666230.xyz/iptv/bjyd.php/6510
北京影视,http://iptv.666230.xyz/iptv/bjyd.php/6433
北京纪实科教,http://iptv.666230.xyz/iptv/bjyd.php/6434
北京文艺,http://iptv.666230.xyz/iptv/bjyd.php/6435
北京新闻,http://iptv.666230.xyz/iptv/bjyd.php/6512
北京生活,http://iptv.666230.xyz/iptv/bjyd.php/6514
北京财经,http://iptv.666230.xyz/iptv/bjyd.php/6516
4K超清,http://iptv.666230.xyz/iptv/bjyd.php/6550
淘娱乐,http://iptv.666230.xyz/iptv/bjyd.php/6551
淘电影,http://iptv.666230.xyz/iptv/bjyd.php/6552
淘剧场,http://iptv.666230.xyz/iptv/bjyd.php/6553
淘BABY,http://iptv.666230.xyz/iptv/bjyd.php/6554
萌宠TV,http://iptv.666230.xyz/iptv/bjyd.php/6555
重温经典,http://iptv.666230.xyz/iptv/bjyd.php/6556
金鹰纪实,http://iptv.666230.xyz/iptv/bjyd.php/6572
茶频道,http://iptv.666230.xyz/iptv/bjyd.php/6548
快乐垂钓,http://iptv.666230.xyz/iptv/bjyd.php/6549
超级电影,http://iptv.666230.xyz/iptv/bjyd.php/6369
超级电影,http://iptv.666230.xyz/iptv/bjyd.php/6233
超级电影,http://iptv.666230.xyz/iptv/bjyd.php/6949
超级电影,http://iptv.666230.xyz/iptv/bjyd.php/6994
超级电视剧,http://iptv.666230.xyz/iptv/bjyd.php/6368
超级电视剧,http://iptv.666230.xyz/iptv/bjyd.php/6253
超级电视剧,http://iptv.666230.xyz/iptv/bjyd.php/6972
超级电视剧,http://iptv.666230.xyz/iptv/bjyd.php/6979
超级综艺,http://iptv.666230.xyz/iptv/bjyd.php/6231
超级综艺,http://iptv.666230.xyz/iptv/bjyd.php/6370
超级综艺,http://iptv.666230.xyz/iptv/bjyd.php/6940
超级综艺,http://iptv.666230.xyz/iptv/bjyd.php/6975
精品体育,http://iptv.666230.xyz/iptv/bjyd.php/6328
精品体育,http://iptv.666230.xyz/iptv/bjyd.php/6978
精品大剧,http://iptv.666230.xyz/iptv/bjyd.php/6970
精品大剧,http://iptv.666230.xyz/iptv/bjyd.php/6331
精品萌宠,http://iptv.666230.xyz/iptv/bjyd.php/6976
精品纪录,http://iptv.666230.xyz/iptv/bjyd.php/6977
精品纪录,http://iptv.666230.xyz/iptv/bjyd.php/6332
农业致富,http://iptv.666230.xyz/iptv/bjyd.php/6304
农业致富,http://iptv.666230.xyz/iptv/bjyd.php/6962
古装剧场,http://iptv.666230.xyz/iptv/bjyd.php/6323
古装剧场,http://iptv.666230.xyz/iptv/bjyd.php/6986
军旅剧场,http://iptv.666230.xyz/iptv/bjyd.php/6324
军旅剧场,http://iptv.666230.xyz/iptv/bjyd.php/6967
军事评论,http://iptv.666230.xyz/iptv/bjyd.php/6326
军事评论,http://iptv.666230.xyz/iptv/bjyd.php/6985
炫舞未来,http://iptv.666230.xyz/iptv/bjyd.php/6248
炫舞未来,http://iptv.666230.xyz/iptv/bjyd.php/6968
欢乐剧场,http://iptv.666230.xyz/iptv/bjyd.php/6969
动作电影,http://iptv.666230.xyz/iptv/bjyd.php/6974
动作电影,http://iptv.666230.xyz/iptv/bjyd.php/6329
潮妈辣婆,http://iptv.666230.xyz/iptv/bjyd.php/6980
潮妈辣婆,http://iptv.666230.xyz/iptv/bjyd.php/6286
家庭剧场,http://iptv.666230.xyz/iptv/bjyd.php/6981
家庭剧场,http://iptv.666230.xyz/iptv/bjyd.php/6330
怡伴健康,http://iptv.666230.xyz/iptv/bjyd.php/6984
怡伴健康,http://iptv.666230.xyz/iptv/bjyd.php/6327
中国功夫,http://iptv.666230.xyz/iptv/bjyd.php/6988
中国功夫http://iptv.666230.xyz/iptv/bjyd.php/6321
爱情喜剧,http://iptv.666230.xyz/iptv/bjyd.php/6989
爱情喜剧,http://iptv.666230.xyz/iptv/bjyd.php/6322
金牌综艺,http://iptv.666230.xyz/iptv/bjyd.php/7004
金牌综艺,http://iptv.666230.xyz/iptv/bjyd.php/6347
惊悚悬疑,http://iptv.666230.xyz/iptv/bjyd.php/7013
明星大片,http://iptv.666230.xyz/iptv/bjyd.php/7008
武搏世界,http://iptv.666230.xyz/iptv/bjyd.php/6320
武搏世界,http://iptv.666230.xyz/iptv/bjyd.php/6992
精品大片,http://iptv.666230.xyz/iptv/bjyd.php/6325
精品大片,http://iptv.666230.xyz/iptv/bjyd.php/6982
黑莓电影,http://iptv.666230.xyz/iptv/bjyd.php/6939
黑莓动画,http://iptv.666230.xyz/iptv/bjyd.php/6935
哒啵电竞,http://iptv.666230.xyz/iptv/bjyd.php/6889
哒啵赛事,http://iptv.666230.xyz/iptv/bjyd.php/6938
睛彩广场舞,http://iptv.666230.xyz/iptv/bjyd.php/6389
睛彩广场舞,http://iptv.666230.xyz/iptv/bjyd.php/6567
睛彩广场舞,http://iptv.666230.xyz/iptv/bjyd.php/7040
睛彩青少,http://iptv.666230.xyz/iptv/bjyd.php/6390
睛彩青少,http://iptv.666230.xyz/iptv/bjyd.php/7000
睛彩竞技,http://iptv.666230.xyz/iptv/bjyd.php/6392
睛彩竞技,http://iptv.666230.xyz/iptv/bjyd.php/6566
睛彩篮球,http://iptv.666230.xyz/iptv/bjyd.php/6565
睛彩篮球,http://iptv.666230.xyz/iptv/bjyd.php/6391
咪世界4K,http://iptv.666230.xyz/iptv/bjyd.php/6399
至臻视界4K,http://iptv.666230.xyz/iptv/bjyd.php/6400
咪世界1,http://iptv.666230.xyz/iptv/bjyd.php/6372
咪世界2,http://iptv.666230.xyz/iptv/bjyd.php/6373
咪世界3,http://iptv.666230.xyz/iptv/bjyd.php/6374
咪世界4,http://iptv.666230.xyz/iptv/bjyd.php/6375
咪世界5,http://iptv.666230.xyz/iptv/bjyd.php/6378
咪世界6,http://iptv.666230.xyz/iptv/bjyd.php/6379
咪世界7,http://iptv.666230.xyz/iptv/bjyd.php/6380
咪世界8,http://iptv.666230.xyz/iptv/bjyd.php/6381
咪世界9,http://iptv.666230.xyz/iptv/bjyd.php/6382
咪世界10,http://iptv.666230.xyz/iptv/bjyd.php/6383
咪世界11,http://iptv.666230.xyz/iptv/bjyd.php/6384
咪世界12,http://iptv.666230.xyz/iptv/bjyd.php/6387
咪世界13,http://iptv.666230.xyz/iptv/bjyd.php/6388
咪世界14,http://iptv.666230.xyz/iptv/bjyd.php/6393
咪世界15,http://iptv.666230.xyz/iptv/bjyd.php/6394
咪世界16,http://iptv.666230.xyz/iptv/bjyd.php/6395
咪世界17,http://iptv.666230.xyz/iptv/bjyd.php/6396
咪世界18,http://iptv.666230.xyz/iptv/bjyd.php/6397
咪世界19,http://iptv.666230.xyz/iptv/bjyd.php/6398
中视购物,http://iptv.666230.xyz/iptv/bjyd.php/6341
中视购物,http://iptv.666230.xyz/iptv/bjyd.php/6385
中视购物,http://iptv.666230.xyz/iptv/bjyd.php/6971
央广购物,http://iptv.666230.xyz/iptv/bjyd.php/6342
央广购物,http://iptv.666230.xyz/iptv/bjyd.php/6363
央广购物,http://iptv.666230.xyz/iptv/bjyd.php/6993
央广购物,http://iptv.666230.xyz/iptv/bjyd.php/7001
家有购物,http://iptv.666230.xyz/iptv/bjyd.php/6343
家有购物,http://iptv.666230.xyz/iptv/bjyd.php/6996
优购物,http://iptv.666230.xyz/iptv/bjyd.php/6344
优购物,http://iptv.666230.xyz/iptv/bjyd.php/6386
优购物,http://iptv.666230.xyz/iptv/bjyd.php/7032
聚鲨环球精选,http://iptv.666230.xyz/iptv/bjyd.php/6345
卡酷少儿,http://iptv.666230.xyz/iptv/bjyd.php/6927
卡酷少儿,http://iptv.666230.xyz/iptv/bjyd.php/7024
优漫卡通,http://iptv.666230.xyz/iptv/bjyd.php/7007
书画,http://iptv.666230.xyz/iptv/bjyd.php/7046
山东卫视,http://iptv.666230.xyz/iptv/bjyd.php/6487
辽宁卫视,http://iptv.666230.xyz/iptv/bjyd.php/6488
天津卫视,http://iptv.666230.xyz/iptv/bjyd.php/6489
安徽卫视,http://iptv.666230.xyz/iptv/bjyd.php/6490
江苏卫视,http://iptv.666230.xyz/iptv/bjyd.php/6491
浙江卫视,http://iptv.666230.xyz/iptv/bjyd.php/6492
湖南卫视,http://iptv.666230.xyz/iptv/bjyd.php/6493
卡酷少儿,http://iptv.666230.xyz/iptv/bjyd.php/6511
东南卫视,http://iptv.666230.xyz/iptv/bjyd.php/6517
重庆卫视,http://iptv.666230.xyz/iptv/bjyd.php/6518
东方卫视,http://iptv.666230.xyz/iptv/bjyd.php/6519
湖北卫视,http://iptv.666230.xyz/iptv/bjyd.php/6520
贵州卫视,http://iptv.666230.xyz/iptv/bjyd.php/6521
江西卫视,http://iptv.666230.xyz/iptv/bjyd.php/6522
四川卫视,http://iptv.666230.xyz/iptv/bjyd.php/6523
黑龙江卫视,http://iptv.666230.xyz/iptv/bjyd.php/6524
山东教育,http://iptv.666230.xyz/iptv/bjyd.php/6526
西藏卫视,http://iptv.666230.xyz/iptv/bjyd.php/6527
宁夏卫视,http://iptv.666230.xyz/iptv/bjyd.php/6528
青海卫视,http://iptv.666230.xyz/iptv/bjyd.php/6529
内蒙古卫视,http://iptv.666230.xyz/iptv/bjyd.php/6530
山西卫视,http://iptv.666230.xyz/iptv/bjyd.php/6531
陕西卫视,http://iptv.666230.xyz/iptv/bjyd.php/6532
吉林卫视,http://iptv.666230.xyz/iptv/bjyd.php/6533
广西卫视,http://iptv.666230.xyz/iptv/bjyd.php/6534
广东卫视,http://iptv.666230.xyz/iptv/bjyd.php/6535
河北卫视,http://iptv.666230.xyz/iptv/bjyd.php/6536
嘉佳卡通,http://iptv.666230.xyz/iptv/bjyd.php/6539
兵团卫视,http://iptv.666230.xyz/iptv/bjyd.php/6541
厦门卫视,http://iptv.666230.xyz/iptv/bjyd.php/6542
云南卫视,http://iptv.666230.xyz/iptv/bjyd.php/6543
三沙卫视,http://iptv.666230.xyz/iptv/bjyd.php/6544
新疆卫视,http://iptv.666230.xyz/iptv/bjyd.php/6546
深圳卫视,http://iptv.666230.xyz/iptv/bjyd.php/6573
海南卫视,http://iptv.666230.xyz/iptv/bjyd.php/6574
财富天下,http://iptv.666230.xyz/iptv/bjyd.php/6575
金鹰卡通,http://iptv.666230.xyz/iptv/bjyd.php/6576
贵州卫视,http://iptv.666230.xyz/iptv/bjyd.php/6908
吉林卫视,http://iptv.666230.xyz/iptv/bjyd.php/6912
甘肃卫视,http://iptv.666230.xyz/iptv/bjyd.php/6913
内蒙古卫视,http://iptv.666230.xyz/iptv/bjyd.php/6919
山西卫视,http://iptv.666230.xyz/iptv/bjyd.php/6920
宁夏卫视,http://iptv.666230.xyz/iptv/bjyd.php/6921
海南卫视,http://iptv.666230.xyz/iptv/bjyd.php/6922
新疆卫视,http://iptv.666230.xyz/iptv/bjyd.php/6923
四川卫视,http://iptv.666230.xyz/iptv/bjyd.php/6924
陕西卫视,http://iptv.666230.xyz/iptv/bjyd.php/6926
广西卫视,http://iptv.666230.xyz/iptv/bjyd.php/6915
青海卫视,http://iptv.666230.xyz/iptv/bjyd.php/6916
河北卫视,http://iptv.666230.xyz/iptv/bjyd.php/6917
云南卫视,http://iptv.666230.xyz/iptv/bjyd.php/6928
西藏卫视,http://iptv.666230.xyz/iptv/bjyd.php/6930
优漫卡通,http://iptv.666230.xyz/iptv/bjyd.php/6932
西藏卫视,http://iptv.666230.xyz/iptv/bjyd.php/7033
江苏银河,#genre#
CCTV-1,http://iptv.666230.xyz/iptv/jsyd.php/G_CCTV-1-HD-265-5M
CCTV-1,http://iptv.666230.xyz/iptv/jsyd.php/G_CCTV-1-HD-265-8M
CCTV-2,http://iptv.666230.xyz/iptv/jsyd.php/G_CCTV-2-HD-265-8M
CCTV-3,http://iptv.666230.xyz/iptv/jsyd.php/G_CCTV-3-HD-265-8M
CCTV-4,http://iptv.666230.xyz/iptv/jsyd.php/G_CCTV-4-HD-265-8M
CCTV-4K,http://iptv.666230.xyz/iptv/jsyd.php/G_CCTV-4K-HD
CCTV-5,http://iptv.666230.xyz/iptv/jsyd.php/G_CCTV-5-HD-265-8M
CCTV-5,http://iptv.666230.xyz/iptv/jsyd.php/G_CCTV-5-HQ
CCTV-5+,http://iptv.666230.xyz/iptv/jsyd.php/G_CCTV-5PLUS-HD-265-5M
CCTV-6,http://iptv.666230.xyz/iptv/jsyd.php/G_CCTV-6-HD-265-8M
CCTV-7,http://iptv.666230.xyz/iptv/jsyd.php/G_CCTV-7-HQ
CCTV-8,http://iptv.666230.xyz/iptv/jsyd.php/G_CCTV-8-HD-265-5M
CCTV-8,http://iptv.666230.xyz/iptv/jsyd.php/G_CCTV-8-HD-265-8M
CCTV-9,http://iptv.666230.xyz/iptv/jsyd.php/G_CCTV-9-HQ
CCTV-10,http://iptv.666230.xyz/iptv/jsyd.php/G_CCTV-10-HQ
CCTV-11,http://iptv.666230.xyz/iptv/jsyd.php/G_CCTV-11-HQ
CCTV-12,http://iptv.666230.xyz/iptv/jsyd.php/G_CCTV-12-HQ
CCTV-13,http://iptv.666230.xyz/iptv/jsyd.php/G_CCTV-13-HQ
CCTV-14,http://iptv.666230.xyz/iptv/jsyd.php/G_CCTV-14-HQ
CCTV-15,http://iptv.666230.xyz/iptv/jsyd.php/G_CCTV-15-HQ
CCTV-16,http://iptv.666230.xyz/iptv/jsyd.php/G_CCTV-16-CQ
CCTV-16 4K,http://iptv.666230.xyz/iptv/jsyd.php/G_CCTV-16-4K
CCTV-17,http://iptv.666230.xyz/iptv/jsyd.php/G_CCTV-17-HD
世界地理,http://iptv.666230.xyz/iptv/jsyd.php/G_SHIJIEDL-CQ
第一剧场,http://iptv.666230.xyz/iptv/jsyd.php/G_DIYIJC-CQ
风云音乐,http://iptv.666230.xyz/iptv/jsyd.php/G_FENGYUNYY-CQ
风云剧场,http://iptv.666230.xyz/iptv/jsyd.php/G_FENGYUNJC-CQ
电视指南,http://iptv.666230.xyz/iptv/jsyd.php/G_DIANSHIZN-CQ
怀旧剧场,http://iptv.666230.xyz/iptv/jsyd.php/G_HUAIJIUJC-CQ
兵器科技,http://iptv.666230.xyz/iptv/jsyd.php/G_BINGQIKJ-CQ
女性时尚,http://iptv.666230.xyz/iptv/jsyd.php/G_NVXINGSS-CQ
文化精品,http://iptv.666230.xyz/iptv/jsyd.php/G_CCTV-WENHUA-CQ
央视台球,http://iptv.666230.xyz/iptv/jsyd.php/G_TAIQIU-CQ
高尔夫网球,http://iptv.666230.xyz/iptv/jsyd.php/G_CCTV-GOLF-CQ
